"Group","total_sites","homozygous_sites","heterozygous_sites","missing_sites","prop_homozygous","prop_heterozygous","prop_missing"
"TRIPS",21626,14220,678,6728,0.657541847775825,0.0313511513918431,0.311107000832331
"ZDIPL",14745,12717,501,1527,0.862461851475076,0.0339776195320448,0.103560528992879
"ZLUXR",16711,14507,472,1732,0.868110825204955,0.0282448686493926,0.103644306145653
"ZMHUE",9830,8515,772,543,0.866225839267548,0.0785350966429298,0.0552390640895219
"ZMMIL",285070,259176,1017,24877,0.909166169712702,0.00356754481355457,0.0872662854737433
"ZMMLR",1234648,981471,206037,47140,0.794939934297063,0.16687914288121,0.0381809228217273
"ZMMMR",26541,22854,759,2928,0.861082852944501,0.0285972646094721,0.110319882446027
"ZMPBA",884700,648658,195961,40081,0.733195433480276,0.221499943483667,0.0453046230360574
"ZMPIL",40303,37841,731,1731,0.938912736024614,0.0181376076222614,0.0429496563531251
"ZMPJA",33422,27393,5394,635,0.819609837831369,0.161390700736042,0.0189994614325893
"ZMXCH",73725,56925,13637,3163,0.772126144455748,0.184971176670058,0.0429026788741946
"ZMXCP",67827,51887,13188,2752,0.764990343078715,0.194435844132867,0.0405738127884176
"ZMXIL",5898,5521,141,236,0.93608002712784,0.0239064089521872,0.0400135639199729
"ZMXNO",6881,5664,973,244,0.823136172068013,0.141403865717192,0.0354599622147944
"ZMXNT",3932,3269,146,517,0.831383519837233,0.0371312309257375,0.13148524923703
"ZPERR",8847,7354,875,618,0.831242229004182,0.0989035831355262,0.0698541878602916
